date,base_u_rate,1m_u_rate_pct_change,1yr_u_rate_pct_diff
1969-06-01,3.5,2.941176470588247,-5.405405405405405
1969-07-01,3.5,0.0,-5.405405405405405
1969-08-01,3.5,0.0,0.0
1969-09-01,3.7,5.714285714285716,8.823529411764719
1969-10-01,3.7,0.0,8.823529411764719
1969-11-01,3.5,-5.405405405405405,2.941176470588247
1969-12-01,3.5,0.0,2.941176470588247
1970-01-01,3.9,11.428571428571432,14.705882352941169
1970-02-01,4.2,7.692307692307709,23.529411764705888
1970-03-01,4.4,4.761904761904767,29.41176470588236
1970-04-01,4.6,4.545454545454519,35.29411764705881
1970-05-01,4.8,4.347826086956519,41.176470588235304
1970-06-01,4.9,2.083333333333348,40.000000000000014
1970-07-01,5.0,2.0408163265306145,42.85714285714286
1970-08-01,5.1,2.0000000000000018,45.71428571428571
1970-09-01,5.4,5.882352941176494,45.945945945945944
1970-10-01,5.5,1.8518518518518379,48.64864864864864
1970-11-01,5.9,7.272727272727275,68.57142857142857
1970-12-01,6.1,3.3898305084745672,74.28571428571426
1971-01-01,5.9,-3.2786885245901565,51.2820512820513
1971-02-01,5.9,0.0,40.47619047619049
1971-03-01,6.0,1.6949152542372836,36.36363636363635
1971-04-01,5.9,-1.6666666666666607,28.260869565217405
1971-05-01,5.9,0.0,22.916666666666675
1971-06-01,5.9,0.0,20.408163265306122
1971-07-01,6.0,1.6949152542372836,19.999999999999996
1971-08-01,6.1,1.6666666666666607,19.6078431372549
1971-09-01,6.0,-1.6393442622950727,11.111111111111093
1971-10-01,5.8,-3.3333333333333326,5.454545454545445
1971-11-01,6.0,3.4482758620689724,1.6949152542372836
1971-12-01,6.0,0.0,-1.6393442622950727
1972-01-01,5.8,-3.3333333333333326,-1.6949152542372947
1972-02-01,5.7,-1.724137931034475,-3.3898305084745783
1972-03-01,5.8,1.754385964912264,-3.3333333333333326
1972-04-01,5.7,-1.724137931034475,-3.3898305084745783
